id_request,customer_id,request_date,requested_standard,requested_supplier_site_id,requested_audit_id,audit_scope,contact_information,quality_officer_id
REQ00001,1006,2024-11-21,GVP,122,AUD01445,training_records,"{""name"": ""Casey"", ""surname"": ""Fischer"", ""email"": ""casey.fischer@example.com""}",
REQ00002,1065,2025-08-27,,85,,,"{""name"": ""Taylor"", ""surname"": ""Hernandez"", ""email"": ""taylor.hernandez@mail.org""}",1
REQ00003,1010,2025-04-25,,68,,,"{""name"": ""Jordan"", ""surname"": ""Romaniuc"", ""email"": ""jordan.romaniuc@mail.org""}",6
REQ00004,1080,2024-03-11,GCP,61,AUD01293,batch_release,,2
REQ00005,1098,2025-10-10,GMP,26,,batch_release,"{""name"": ""Alex"", ""surname"": ""Muller"", ""email"": ""alex.muller@customer.io""}",13
REQ00006,1046,2025-01-18,GMP,111,AUD00299,risk_management,,3
REQ00007,1011,2025-09-16,,98,,,"{""name"": ""Ines"", ""surname"": ""Rossi"", ""email"": ""ines.rossi@qualifyze.com""}",8
REQ00008,1086,2024-01-10,GVP,120,AUD01846,clinical_data_mgmt,"{""name"": ""Sofia"", ""surname"": ""Lopez"", ""email"": ""sofia.lopez@example.com""}",8
REQ00009,1045,2025-08-24,,77,AUD01309,,"{""name"": ""Pablo"", ""surname"": ""Silva"", ""email"": ""pablo.silva@qualifyze.com""}",7
REQ00010,1049,2025-08-08,GVP,92,AUD01178,batch_release,"{""name"": ""Alex"", ""surname"": ""Sanchez"", ""email"": ""alex.sanchez@customer.io""}",1
REQ00011,1073,2024-02-20,GVP,128,AUD01706,,"{""name"": ""Isla"", ""surname"": ""Demeter"", ""email"": ""isla.demeter@qualifyze.com""}",11
REQ00012,1033,2024-05-20,,25,,,"{""name"": ""Sam"", ""surname"": ""Silva"", ""email"": ""sam.silva@mail.org""}",1
REQ00013,1117,2024-10-29,,84,,,"{""name"": ""Jamie"", ""surname"": ""Rossi"", ""email"": ""jamie.rossi@customer.io""}",9
REQ00014,1117,2025-05-08,GVP,76,AUD01529,,"{""name"": ""Pablo"", ""surname"": ""Khan"", ""email"": ""pablo.khan@qualifyze.com""}",13
REQ00015,1093,2025-02-10,GMP,143,,,"{""name"": ""Alex"", ""surname"": ""Schmidt"", ""email"": ""alex.schmidt@example.com""}",8
REQ00016,1075,2025-01-25,GCP,96,AUD00222,complaint_handling,"{""name"": ""Ines"", ""surname"": ""Garcia"", ""email"": ""ines.garcia@customer.io""}",15
REQ00017,1079,2024-08-14,GVP,17,AUD01302,batch_release,"{""name"": ""Marta"", ""surname"": ""Smith"", ""email"": ""marta.smith@qualifyze.com""}",1
REQ00018,1005,2024-11-07,GMP,127,AUD00238,complaint_handling,,8
REQ00019,1048,2025-07-07,,108,,supplier_qualification,"{""name"": ""Marta"", ""surname"": ""Smith"", ""email"": ""marta.smith@mail.org""}",10
REQ00020,1089,2025-01-14,,56,,,"{""name"": ""Diego"", ""surname"": ""Smith"", ""email"": ""diego.smith@customer.io""}",9
